page_id,title,fullurl,categories
71143, 9th Iotan Gorgonnes, https://warhammer40k.fandom.com/wiki/9th_Iotan_Gorgonnes ,"[""I"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71158, 22nd Thetoid Gryphonnes, https://warhammer40k.fandom.com/wiki/22nd_Thetoid_Gryphonnes ,"[""T"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71160, 29th Zetic Tygers, https://warhammer40k.fandom.com/wiki/29th_Zetic_Tygers ,"[""Z"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71162, 32nd Thetoid Eagles, https://warhammer40k.fandom.com/wiki/32nd_Thetoid_Eagles ,"[""T"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71164, 33rd Deltic Phoenixes, https://warhammer40k.fandom.com/wiki/33rd_Deltic_Phoenixes ,"[""D"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71166, 34th Betic Centaurs, https://warhammer40k.fandom.com/wiki/34th_Betic_Centaurs ,"[""B"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71170, 34th Psian Vipers, https://warhammer40k.fandom.com/wiki/34th_Psian_Vipers ,"[""P"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71174, 43rd Iotan Dragons, https://warhammer40k.fandom.com/wiki/43rd_Iotan_Dragons ,"[""I"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71176, 54th Psian Jakals, https://warhammer40k.fandom.com/wiki/54th_Psian_Jakals ,"[""P"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71180, 55th Alphic Hydras, https://warhammer40k.fandom.com/wiki/55th_Alphic_Hydras ,"[""A"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71184, 55th Kappic Eagles, https://warhammer40k.fandom.com/wiki/55th_Kappic_Eagles ,"[""K"", ""Imperium"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71190, 62nd Rhoin Cobras, https://warhammer40k.fandom.com/wiki/62nd_Rhoin_Cobras ,"[""R"", ""Imperial Guard"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71192, 68th Deltic Lions, https://warhammer40k.fandom.com/wiki/68th_Deltic_Lions ,"[""D"", ""Imperial Guard"", ""Imperium"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71210, 73rd Epsilic Eagles, https://warhammer40k.fandom.com/wiki/73rd_Epsilic_Eagles ,"[""E"", ""Imperial Guard"", ""Imperium"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71211, 86th Deltic Dragons, https://warhammer40k.fandom.com/wiki/86th_Deltic_Dragons ,"[""D"", ""Imperial Guard"", ""Imperium"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71214, 88th Alphic Lions, https://warhammer40k.fandom.com/wiki/88th_Alphic_Lions ,"[""A"", ""Imperial Guard"", ""Imperium"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71216, 99th Deltic Gorgonnes, https://warhammer40k.fandom.com/wiki/99th_Deltic_Gorgonnes ,"[""D"", ""Imperial Guard"", ""Imperium"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71220, 101st Betic Dragons, https://warhammer40k.fandom.com/wiki/101st_Betic_Dragons ,"[""B"", ""Imperial Guard"", ""Imperium"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71223, 133rd Lambdan Lions, https://warhammer40k.fandom.com/wiki/133rd_Lambdan_Lions ,"[""L"", ""Imperial Guard"", ""Imperium"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71224, 394th Deltic Lions, https://warhammer40k.fandom.com/wiki/394th_Deltic_Lions ,"[""D"", ""Imperial Guard"", ""Imperium"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71225, 50th Kappic Eagles, https://warhammer40k.fandom.com/wiki/50th_Kappic_Eagles ,"[""K"", ""Imperial Guard"", ""Imperium"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
71229, 196th Iotan Gryphonnes, https://warhammer40k.fandom.com/wiki/196th_Iotan_Gryphonnes ,"[""I"", ""Imperial Guard"", ""Imperium"", ""Militarum Tempestus Regiments"", ""Tempestus Scions""]"
72396, 4th Founding, https://warhammer40k.fandom.com/wiki/4th_Founding ,"[""Foundings"", ""History"", ""Imperium"", ""Space Marine Chapters"", ""Space Marines"", ""Timeline"", ""4th Founding""]"
72519, A Safe and Shadowed Place (Short Story), https://warhammer40k.fandom.com/wiki/A_Safe_and_Shadowed_Place_(Short_Story) ,"[""Books"", ""Short Story"", ""EBooks"", ""The Horus Heresy novel series"", ""S""]"
72655, Space Wolves 13th Company, https://warhammer40k.fandom.com/wiki/13th_Wulfen_Company ,"[""S"", ""History"", ""Imperial History"", ""Imperium"", ""Space Marine Chapters"", ""Space Marines"", ""Space Wolves""]"
